loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36,Subject,Trial
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,0,4,2,4,4,4,4,4,1,3
0,0,0,0,6,0,6,0,0,6,0,0,1,0,6,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,0,6,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,6
3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,1,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,1,7
0,4,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,1,8
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9
0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,10
6,6,0,0,6,6,0,0,0,0,6,0,6,6,6,6,0,0,6,6,0,6,0,0,6,6,0,6,6,6,0,2,0,6,0,6,1,11
0,0,0,0,0,5,0,0,5,0,2,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,1,12
3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,3,3,0,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,1,13
0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,0,4,4,0,1,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16
0,0,4,4,4,4,0,0,1,0,0,0,4,4,0,4,4,0,4,4,0,4,0,4,4,0,4,4,4,4,0,0,4,4,0,0,1,17
0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,1,18
0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,1,19
4,0,4,0,0,4,4,0,4,0,0,4,4,4,4,4,0,0,4,4,0,4,4,0,0,0,4,4,4,0,1,0,0,4,4,0,1,20
0,0,4,0,4,0,0,0,1,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,1,21
0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,23
0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,24
0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,25
4,4,0,4,4,0,0,0,4,4,4,0,0,0,0,4,4,0,0,4,0,4,2,4,4,0,0,4,4,4,4,0,4,0,4,0,1,26
4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,2,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,1,27
0,3,0,0,3,0,3,3,0,3,0,3,0,0,3,0,3,3,3,3,3,1,3,3,0,0,3,0,0,0,3,3,3,0,3,0,1,28
0,0,0,0,0,6,0,6,0,0,0,0,6,1,0,6,0,0,6,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,1,29
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30
0,0,0,5,0,5,0,5,0,0,5,2,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,31
0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,1,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,1,33
3,0,3,0,3,0,2,0,3,3,0,3,0,3,3,3,0,0,3,3,3,0,3,0,3,0,3,3,0,0,3,3,0,0,3,0,1,34
2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,35
6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,6,6,0,2,6,0,6,6,6,6,6,6,6,6,1,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,38
0,0,0,0,5,0,5,0,5,0,0,5,0,0,0,0,5,2,0,0,5,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,1,39
3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,3,3,2,3,3,3,3,3,1,40
0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41
0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,2,3,1,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,43
0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,44
0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,5,5,5,0,0,0,0,5,0,0,0,5,5,0,0,0,0,2,0,0,1,45
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,46
